2023-03-11 22:22:05.597836 [INFO   ] [APP] application started
2023-03-11 22:22:05.598167 [INFO   ] [APP] loading configuration from 'autotrader.json'
2023-03-11 22:22:05.598591 [INFO   ] [CON] connecting to: 127.0.0.1:12345
2023-03-11 22:22:05.598748 [INFO   ] [CON] connected successfully to: 127.0.0.1:12345
2023-03-11 22:22:05.598801 [INFO   ] [BASE] logging in with teamname='Default' and secret='rachel1234'
2023-03-11 22:22:05.599495 [DEBUG  ] [CON] 'Exec' sent 103 bytes
2023-03-11 22:22:08.956741 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:08.956763 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-11 22:22:08.956779 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 124900; ask volumes: 1000; bid prices: 124800; bid volumes: 12060
2023-03-11 22:22:08.956841 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-11 22:22:08.956873 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:08.956880 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-11 22:22:08.956886 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 0; bid volumes: 0
2023-03-11 22:22:08.956932 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-11 22:22:08.957270 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-11 22:22:08.957283 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-11 22:22:08.957370 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-11 22:22:08.957384 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-11 22:22:09.030682 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.030705 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-11 22:22:09.030714 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 124900; ask volumes: 1000; bid prices: 124800; bid volumes: 12060
2023-03-11 22:22:09.030764 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.030779 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-11 22:22:09.030785 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 124900; ask volumes: 30; bid prices: 124800; bid volumes: 30
2023-03-11 22:22:09.048795 [DEBUG  ] [CON] 'Exec' received 34 bytes
2023-03-11 22:22:09.048812 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-11 22:22:09.048820 [INFO   ] [AUTO] order 2 filled for 20 lots at $124800 cents
2023-03-11 22:22:09.048837 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-11 22:22:09.048872 [DEBUG  ] [CON] 'Exec' sent 16 bytes
2023-03-11 22:22:09.048919 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.048932 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-11 22:22:09.048941 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 124800; bid volumes: 30
2023-03-11 22:22:09.049039 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-11 22:22:09.049052 [DEBUG  ] [CON] 'Exec' received message with type=4 and size=15
2023-03-11 22:22:09.049058 [INFO   ] [AUTO] hedge order 3 filled for 20 lots at $124800 average price in cents
2023-03-11 22:22:09.086811 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.086839 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-11 22:22:09.086848 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 124900; ask volumes: 1000; bid prices: 124800; bid volumes: 3060
2023-03-11 22:22:09.086901 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-11 22:22:09.086940 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.086953 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-11 22:22:09.086959 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 124800; ask volumes: 64; bid prices: 124500; bid volumes: 10
2023-03-11 22:22:09.086973 [DEBUG  ] [CON] 'Exec' sent 34 bytes
2023-03-11 22:22:09.086980 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-11 22:22:09.086987 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-11 22:22:09.087164 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-11 22:22:09.087176 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-11 22:22:09.087229 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-11 22:22:09.087242 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-11 22:22:09.087540 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-11 22:22:09.087552 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-11 22:22:09.087558 [INFO   ] [AUTO] order 4 filled for 10 lots at $124700 cents
2023-03-11 22:22:09.087598 [DEBUG  ] [CON] 'Exec' sent 16 bytes
2023-03-11 22:22:09.087608 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-11 22:22:09.087613 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-11 22:22:09.087726 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.087737 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-11 22:22:09.087744 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 124700; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-11 22:22:09.087798 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-11 22:22:09.087810 [DEBUG  ] [CON] 'Exec' received message with type=4 and size=15
2023-03-11 22:22:09.087816 [INFO   ] [AUTO] hedge order 6 filled for 10 lots at $124900 average price in cents
2023-03-11 22:22:09.100576 [DEBUG  ] [CON] 'Exec' received 34 bytes
2023-03-11 22:22:09.100598 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-11 22:22:09.100606 [INFO   ] [AUTO] order 5 filled for 20 lots at $124600 cents
2023-03-11 22:22:09.100624 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-11 22:22:09.100660 [DEBUG  ] [CON] 'Exec' sent 16 bytes
2023-03-11 22:22:09.100885 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.100896 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-11 22:22:09.100904 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 124600; bid volumes: 20
2023-03-11 22:22:09.101880 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-11 22:22:09.101893 [DEBUG  ] [CON] 'Exec' received message with type=4 and size=15
2023-03-11 22:22:09.101899 [INFO   ] [AUTO] hedge order 7 filled for 20 lots at $124600 average price in cents
2023-03-11 22:22:09.152043 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.152065 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-11 22:22:09.152073 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 124700; ask volumes: 1660; bid prices: 124600; bid volumes: 10000
2023-03-11 22:22:09.152124 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-11 22:22:09.152150 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.152159 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-11 22:22:09.152167 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 124700; ask volumes: 10; bid prices: 124000; bid volumes: 10000
2023-03-11 22:22:09.152237 [DEBUG  ] [CON] 'Exec' sent 34 bytes
2023-03-11 22:22:09.152341 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-11 22:22:09.152354 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-11 22:22:09.152533 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-11 22:22:09.152547 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-11 22:22:09.152597 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-11 22:22:09.152608 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-11 22:22:09.152902 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-11 22:22:09.152916 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-11 22:22:09.152922 [INFO   ] [AUTO] order 8 filled for 10 lots at $124400 cents
2023-03-11 22:22:09.152978 [DEBUG  ] [CON] 'Exec' sent 16 bytes
2023-03-11 22:22:09.152992 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-11 22:22:09.152997 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-11 22:22:09.153100 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.153113 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-11 22:22:09.153119 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 124400; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-11 22:22:09.153325 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-11 22:22:09.153339 [DEBUG  ] [CON] 'Exec' received message with type=4 and size=15
2023-03-11 22:22:09.153345 [INFO   ] [AUTO] hedge order 10 filled for 10 lots at $124700 average price in cents
2023-03-11 22:22:09.212875 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.212904 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-11 22:22:09.212913 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 124700; ask volumes: 3660; bid prices: 124500; bid volumes: 3400
2023-03-11 22:22:09.212992 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-11 22:22:09.213027 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.213037 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-11 22:22:09.213043 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 124400; ask volumes: 10; bid prices: 124300; bid volumes: 30
2023-03-11 22:22:09.213091 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-11 22:22:09.213518 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-11 22:22:09.213533 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-11 22:22:09.213646 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-11 22:22:09.213659 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-11 22:22:09.261508 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.261531 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-11 22:22:09.261540 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 124500; bid volumes: 400
2023-03-11 22:22:09.268655 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.268670 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-11 22:22:09.268678 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 124500; ask volumes: 13670; bid prices: 124300; bid volumes: 13660
2023-03-11 22:22:09.268736 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-11 22:22:09.268762 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.268769 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
