2023-03-11 22:22:05.062202 [INFO   ] [APP] application started
2023-03-11 22:22:05.062892 [INFO   ] [APP] loading configuration from 'autotrader1.json'
2023-03-11 22:22:05.063307 [INFO   ] [CON] connecting to: 127.0.0.1:12345
2023-03-11 22:22:05.063459 [INFO   ] [CON] connected successfully to: 127.0.0.1:12345
2023-03-11 22:22:05.063514 [INFO   ] [BASE] logging in with teamname='1.0' and secret='rachel1234'
2023-03-11 22:22:05.064273 [DEBUG  ] [CON] 'Exec' sent 103 bytes
2023-03-11 22:22:08.956745 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:08.956768 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-11 22:22:08.956781 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 124900; ask volumes: 1000; bid prices: 124800; bid volumes: 12060
2023-03-11 22:22:08.956842 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-11 22:22:08.956869 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:08.956880 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-11 22:22:08.956886 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 0; bid volumes: 0
2023-03-11 22:22:08.956938 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-11 22:22:08.957076 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-11 22:22:08.957089 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-11 22:22:08.957193 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-11 22:22:08.957206 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-11 22:22:09.030677 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.030703 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-11 22:22:09.030712 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 124900; ask volumes: 1000; bid prices: 124800; bid volumes: 12060
2023-03-11 22:22:09.030756 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.030771 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-11 22:22:09.030777 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 124900; ask volumes: 30; bid prices: 124800; bid volumes: 30
2023-03-11 22:22:09.048686 [DEBUG  ] [CON] 'Exec' received 34 bytes
2023-03-11 22:22:09.048708 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-11 22:22:09.048715 [INFO   ] [AUTO] order 2 filled for 10 lots at $124800 cents
2023-03-11 22:22:09.048725 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-11 22:22:09.048922 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.048937 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-11 22:22:09.048945 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 124800; bid volumes: 30
2023-03-11 22:22:09.086812 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.086836 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-11 22:22:09.086871 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 124900; ask volumes: 1000; bid prices: 124800; bid volumes: 3060
2023-03-11 22:22:09.086926 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-11 22:22:09.086950 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.086957 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-11 22:22:09.086963 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 124800; ask volumes: 64; bid prices: 124500; bid volumes: 10
2023-03-11 22:22:09.087005 [DEBUG  ] [CON] 'Exec' sent 34 bytes
2023-03-11 22:22:09.087299 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-11 22:22:09.087312 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-11 22:22:09.087433 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-11 22:22:09.087446 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-11 22:22:09.087676 [DEBUG  ] [CON] 'Exec' received 34 bytes
2023-03-11 22:22:09.087690 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-11 22:22:09.087696 [INFO   ] [AUTO] order 4 filled for 10 lots at $124700 cents
2023-03-11 22:22:09.087700 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-11 22:22:09.087748 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.087759 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-11 22:22:09.087765 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 124700; ask volumes: 10; bid prices: 0; bid volumes: 0
